Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
7,3,16,Kiss Me More (feat. SZA),29356736,Doja Cat,8640063,dance pop,94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742,G#/Ab
7,3,16,Kiss Me More (feat. SZA),29356736,Doja Cat,8640063, pop,94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742,G#/Ab
9,3,8,Yonaguni,25030128,Bad Bunny,36142273, reggaeton,96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44,C#/Db
9,3,8,Yonaguni,25030128,Bad Bunny,36142273, trap latino,96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44,C#/Db
11,4,43,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474,dance pop,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb
11,4,43,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474, pop,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb
14,1,19,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126, pop,94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464,C
14,1,19,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126, post-teen pop,94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464,C
18,5,14,Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637, pop,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593,C
20,20,7,Need To Know,16908917,Doja Cat,8640063,dance pop,90.0,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560.0,0.194,C#/Db
20,20,7,Need To Know,16908917,Doja Cat,8640063, pop,90.0,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560.0,0.194,C#/Db
22,22,5,Ain't Shit,16126897,Doja Cat,8640063,dance pop,90.0,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253.0,0.619,D#/Eb
22,22,5,Ain't Shit,16126897,Doja Cat,8640063, pop,90.0,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253.0,0.619,D#/Eb
25,1,83,Blinding Lights,15011809,The Weeknd,35305637, pop,92.0,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040.0,0.334,C#/Db
64,2,34,Save Your Tears,8843110,The Weeknd,35305637, pop,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593,C
