id_estudiante,edad,genero,horas_estudio_dia,horas_redes_sociales,netflix_hours,trabajo_medio_tiempo,porcentaje_asistencia,horas_sueno,calidad_dieta,frecuencia_ejercicio,nivel_educacion_padres,calidad_internet,nivel_salud_mental,participacion_extracurricular,nota_examen
S1000,23,Femenino,0.0,1.2,1.1,No,85.0,8.0,Regular,6,Master,Regular,8,Si,56.2
S1001,20,Femenino,6.9,2.8,2.3,No,97.3,4.6,Buena,6,Secundaria,Regular,8,No,100.0
S1002,21,Masculino,1.4,3.1,1.3,No,94.8,8.0,Mala,1,Secundaria,Mala,1,No,34.3
S1003,23,Femenino,1.0,3.9,1.0,No,71.0,9.2,Mala,4,Master,Buena,1,Si,26.8
S1004,19,Femenino,5.0,4.4,0.5,No,90.9,4.9,Regular,3,Master,Buena,1,No,66.4
S1005,24,Masculino,7.2,1.3,0.0,No,82.9,7.4,Regular,1,Master,Regular,4,No,100.0
S1006,21,Femenino,5.6,1.5,1.4,Si,85.8,6.5,Buena,2,Master,Mala,4,No,89.8
S1007,21,Femenino,4.3,1.0,2.0,Si,77.7,4.6,Regular,0,Bachelor,Regular,8,No,72.6
S1008,23,Femenino,4.4,2.2,1.7,No,100.0,7.1,Buena,3,Bachelor,Buena,1,No,78.9
S1009,18,Femenino,4.8,3.1,1.3,No,95.4,7.5,Buena,5,Bachelor,Buena,10,Si,100.0
S1010,19,Femenino,4.6,3.7,0.8,No,77.6,5.8,Regular,1,,Buena,3,No,63.3
S1011,23,Masculino,3.9,2.4,2.5,No,71.7,7.9,Regular,2,Bachelor,Regular,1,No,74.4
S1012,19,Femenino,3.7,2.1,0.4,Si,81.1,4.5,Regular,1,Bachelor,Buena,9,No,76.9
S1013,19,Femenino,3.4,2.7,2.7,No,89.3,4.7,Regular,4,Bachelor,Buena,10,No,75.8
S1014,24,Masculino,2.4,1.5,0.7,No,87.4,6.7,Mala,6,Bachelor,Regular,9,No,78.9
S1015,21,Masculino,3.1,5.0,1.0,No,97.5,6.5,Buena,6,Secundaria,Regular,7,No,74.0
S1016,20,Masculino,1.0,0.6,0.2,No,92.9,5.6,Mala,3,Secundaria,Mala,8,Si,55.2
S1017,24,Femenino,3.4,2.7,1.2,No,94.7,7.5,Mala,0,Secundaria,Regular,1,Si,70.8
S1018,24,Other,2.0,4.9,2.9,Si,88.3,7.1,Buena,2,Secundaria,Buena,5,No,43.9
S1019,19,Masculino,1.8,2.5,2.4,No,71.1,7.5,Regular,1,Secundaria,Regular,2,No,45.3
S1020,22,Femenino,3.8,2.3,2.9,No,83.0,6.4,Buena,3,Master,Buena,1,No,58.5
S1021,21,Masculino,5.6,2.1,2.4,No,95.6,7.2,Regular,1,Secundaria,Buena,3,No,82.5
S1022,18,Other,4.9,2.3,0.6,No,84.5,6.0,Regular,3,Secundaria,Regular,7,No,98.7
S1023,24,Femenino,1.1,4.1,1.4,Si,90.0,9.0,Regular,6,Bachelor,Buena,1,No,43.7
S1024,20,Femenino,2.0,0.0,0.9,Si,81.8,5.5,Regular,4,Bachelor,Regular,2,No,54.9
S1025,22,Masculino,4.9,4.3,3.3,No,74.7,9.0,Regular,1,Secundaria,Regular,2,Si,69.9
S1026,22,Masculino,2.0,0.8,0.5,No,83.8,6.5,Buena,4,Bachelor,Mala,4,No,73.5
S1027,18,Masculino,3.2,2.2,2.8,Si,88.1,4.8,Regular,5,Bachelor,Regular,3,No,71.1
S1028,24,Masculino,4.3,2.0,2.8,Si,78.4,8.1,Buena,5,Secundaria,Mala,3,Si,82.8
S1029,20,Femenino,2.0,3.2,3.8,Si,82.6,6.7,Mala,6,Secundaria,Mala,10,Si,75.7
S1030,21,Femenino,3.7,0.6,1.3,No,75.6,7.5,Regular,2,Master,Regular,5,No,70.6
S1031,17,Other,1.5,3.1,2.6,Si,96.2,8.0,Regular,4,Bachelor,Regular,3,Si,51.3
S1032,20,Other,2.6,4.9,4.3,No,82.1,6.9,Buena,3,Bachelor,Buena,7,No,52.1
S1033,18,Femenino,4.0,0.9,1.1,No,99.5,5.8,Mala,2,,Regular,5,No,70.7
S1034,22,Femenino,1.1,2.7,0.1,No,100.0,7.7,Regular,1,Secundaria,Buena,4,No,51.2
S1035,21,Femenino,4.2,1.7,0.0,Si,84.2,6.5,Buena,1,Bachelor,Regular,3,No,72.6
S1036,20,Femenino,3.5,3.0,2.6,No,74.9,7.3,Regular,3,Secundaria,Buena,4,No,70.7
S1037,17,Masculino,4.3,2.5,0.0,Si,64.1,3.9,Buena,0,Secundaria,Regular,2,No,59.4
S1038,17,Masculino,3.8,1.7,1.4,No,70.3,7.0,Mala,0,Bachelor,Buena,1,No,58.1
S1039,19,Masculino,5.5,3.1,2.3,No,71.3,5.7,Buena,1,Secundaria,Regular,3,No,82.3
S1040,19,Femenino,3.7,4.7,2.0,No,98.8,8.5,Buena,6,Bachelor,Buena,2,No,69.7
S1041,23,Femenino,2.9,2.3,2.3,No,86.2,7.2,Buena,6,Bachelor,Regular,1,No,66.0
S1042,18,Masculino,3.7,3.4,2.0,No,88.9,6.8,Regular,3,Secundaria,Mala,1,Si,63.5
S1043,24,Femenino,4.3,0.9,3.2,No,62.8,7.1,Mala,0,Bachelor,Buena,2,No,65.7
S1044,20,Femenino,3.6,1.4,0.8,No,73.0,5.3,Buena,4,Secundaria,Mala,9,No,78.5
S1045,20,Masculino,3.6,3.1,1.1,No,93.9,8.4,Regular,1,Bachelor,Regular,5,Si,75.1
S1046,24,Masculino,2.4,4.3,1.0,No,87.9,8.9,Mala,5,Secundaria,Regular,9,Si,71.0
S1047,23,Femenino,2.5,2.9,2.7,No,83.5,7.0,Buena,4,,Buena,8,Si,59.7
S1048,22,Femenino,1.4,2.1,2.8,No,90.6,8.4,Regular,3,Bachelor,Buena,6,No,52.6
S1049,22,Femenino,6.1,2.5,2.3,No,100.0,5.8,Mala,5,Secundaria,Regular,1,No,96.5
S1050,23,Femenino,1.6,1.0,3.1,No,82.8,5.5,Regular,4,Master,Buena,10,Si,62.0
S1051,22,Femenino,2.5,3.2,0.5,No,85.7,6.5,Mala,0,Secundaria,Regular,5,No,59.7
S1052,19,Femenino,2.4,3.6,3.6,No,86.9,7.0,Regular,6,Secundaria,Regular,1,No,48.4
S1053,20,Femenino,4.8,2.0,3.5,No,100.0,6.0,Buena,0,Bachelor,Buena,7,Si,70.6
S1054,23,Femenino,3.1,1.9,2.6,Si,64.0,7.1,Regular,5,Secundaria,Buena,10,No,68.1
S1055,20,Masculino,5.4,2.8,3.8,No,91.8,6.9,Buena,2,Secundaria,Buena,8,No,87.2
S1056,24,Masculino,2.5,2.0,0.0,No,83.9,5.3,Buena,6,Bachelor,Regular,8,No,66.7
S1057,17,Masculino,3.9,2.4,1.2,No,90.7,7.1,Buena,1,Bachelor,Regular,7,Si,75.2
S1058,19,Femenino,2.2,5.0,1.0,No,78.4,7.5,Mala,5,Master,Regular,2,Si,46.4
S1059,21,Femenino,6.7,2.2,2.6,No,84.5,6.7,Buena,3,Master,Regular,5,Si,97.1
S1060,19,Femenino,1.7,2.1,0.6,Si,92.1,7.9,Regular,1,Secundaria,Regular,4,No,61.2
S1061,23,Masculino,4.0,1.7,2.6,No,100.0,5.0,Regular,4,Bachelor,Buena,5,No,75.0
S1062,21,Masculino,4.5,3.4,3.3,Si,93.1,7.1,Buena,6,Secundaria,Buena,10,No,94.7
S1063,17,Masculino,4.1,2.3,2.6,Si,76.5,5.1,Regular,3,Bachelor,Regular,9,No,77.6
S1064,23,Masculino,3.2,1.7,2.1,No,80.8,5.2,Buena,3,Secundaria,Mala,4,Si,68.6
S1065,18,Femenino,3.3,4.1,0.7,No,80.5,5.7,Mala,0,Master,Buena,8,No,69.6
S1066,20,Masculino,3.6,4.2,0.9,No,67.0,5.4,Buena,4,Bachelor,Regular,8,No,66.5
S1067,17,Masculino,3.3,1.8,3.2,No,81.7,5.8,Mala,0,Master,Buena,2,No,62.2
S1068,20,Femenino,4.9,0.3,2.7,Si,92.3,6.2,Buena,0,Bachelor,Mala,6,No,82.1
S1069,22,Masculino,6.8,3.7,1.8,No,72.3,7.5,Mala,6,Master,Regular,5,No,100.0
S1070,18,Femenino,2.7,1.7,1.3,No,95.5,6.1,Mala,2,Bachelor,Buena,2,Si,59.7
S1071,18,Femenino,1.4,3.4,0.0,No,89.9,4.6,Regular,0,Secundaria,Mala,10,Si,55.1
S1072,17,Masculino,3.4,0.1,0.6,No,77.7,7.9,Regular,1,Secundaria,Regular,4,Si,77.1
S1073,18,Femenino,7.4,3.6,3.9,No,83.6,5.5,Regular,3,Secundaria,Regular,7,Si,97.7
S1074,21,Femenino,2.3,1.0,0.4,No,100.0,6.4,Regular,6,,Buena,1,No,66.9
S1075,18,Femenino,6.0,3.4,2.0,Si,92.3,7.0,Regular,0,Bachelor,Buena,9,Si,99.9
S1076,20,Masculino,6.0,2.5,2.9,No,85.1,6.7,Mala,5,Bachelor,Regular,10,Si,100.0
S1077,20,Femenino,2.7,1.4,0.4,No,82.6,7.8,Regular,1,Bachelor,Mala,1,No,57.2
S1078,23,Femenino,4.4,2.0,2.0,Si,85.8,7.1,Buena,4,Master,Buena,5,No,77.3
S1079,20,Masculino,5.9,3.3,2.8,Si,79.9,5.5,Buena,3,Master,Regular,7,No,91.6
S1080,23,Masculino,2.9,2.6,1.8,No,64.0,9.1,Buena,6,Secundaria,Buena,8,No,70.7
S1081,20,Other,3.2,3.2,5.0,No,100.0,6.7,Buena,5,Secundaria,Mala,2,No,57.6
