;description;energy;kms;location;make;model;price;title;transmission;year
0;hilux 4x2 como nueva tuneado;diesel;28900;Tarapoto - San Martin - San Martin;toyota;hilux;29900;toyota hilux 2017;mecánica;2017
1;toyotas hilux 2012 y 2014 sr ultimas unidades ;diesel;6700;Lurin - Lima - Lima;toyota;hilux;8700;toyota hilux 2012;mecánica;2012
2;toyota hilux srv 2015;diesel;62400;Lima - Lima - Lima;toyota;hilux;14500;toyota hilux 2015;mecánica;2015
3;hilux 4x2 como nueva tuneado;diesel;28900;Tarapoto - San Martin - San Martin;toyota;hilux;29900;toyota hilux 2017;mecánica;2017
4;toyotas hilux 2012 y 2014 sr ultimas unidades ;diesel;6700;Lurin - Lima - Lima;toyota;hilux;8700;toyota hilux 2012;mecánica;2012
5;toyota hilux srv 2015;diesel;62400;Lima - Lima - Lima;toyota;hilux;14500;toyota hilux 2015;mecánica;2015
6;seminuevo ;gasolina;36000;Jesus Maria - Lima - Lima;toyota;camry;11000;toyota camry 2011;automática (secuencial);2011
7;auto de lujo - elegante y exclusivo (uso ejecutivo);gasolina;90000;La Victoria - Lima - Lima;toyota;avalon;8990;toyota avalon 2009;automática (secuencial);2009
8;;gasolina;23000;Santiago de Surco - Lima - Lima;toyota;rav4;22500;toyota rav4 2016;automática (secuencial);2016
9;toyota corolla semifull 1,8 automatico;gasolina;24872;San Isidro - Lima - Lima;toyota;corolla;14800;toyota corolla 2015;automática;2015
10;de lujo - camioneta conservada con servicio en concesionario;diesel;135731;Santiago de Surco - Lima - Lima;toyota;hilux;19900;toyota hilux 2008;mecánica;2008
11;muy conservado poco uso;diesel;63000;San Borja - Lima - Lima;toyota;hilux;;toyota hilux 2013;mecánica;2013
12;toyota auris hb full mecanico 2013 5 puertas;gasolina;68871;Santiago de Surco - Lima - Lima;toyota;auris;12900;toyota auris 2013;automática;2013
13;toyota hilux srv año 2013 ;diesel;84000;Arequipa - Arequipa - Arequipa;toyota;hilux;12100;toyota hilux 2013;mecánica;2013
14;toyota land cruiser prado 4x4 2016;gas glp;59600;San Borja - Lima - Lima;toyota;land cruiser prado;31500;toyota land cruiser prado 2016;automática (secuencial);2016
15;ocasión imperdible;gasolina;90000;San Isidro - Lima - Lima;toyota;rav4;9500;toyota rav4 2007;automática;2007
16;vehículo en excelente estado;gasolina;;Lima - Lima - Lima;toyota;yaris;8000;toyota yaris 2008;mecánica;2008
17;auto deportivo;dual;73000;Callao - Callao - Callao;toyota;cynos;10200;toyota cynos 2008;automática (secuencial);2008
18;excelente camioneta toyota hilux srv 4x4 automatica;diesel;70000;Miraflores - Lima - Lima;toyota;hilux;21000;toyota hilux 2011;automática;2011
19;toyota hilux uso gerencial;diesel;100000;Santiago de Surco - Lima - Lima;toyota;hilux;;toyota hilux 2011;mecánica;2011
20;;gasolina;42000;Santiago de Surco - Lima - Lima;toyota;rav4;17490;toyota rav4 2014;mecánica;2014
21;auto super liviano y económico,;gasolina;83000;Los Olivos - Lima - Lima;toyota;yaris;9500;toyota yaris 2014;mecánica;2014
22;camioneta totalmente operativa de uso personal;gasolina;77000;Lima - Lima - Lima;toyota;land cruiser prado;28000;toyota land cruiser prado 2014;automática;2014
23;remato landcruiser prado 2010;gasolina;62;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;20;toyota land cruiser prado 2010;mecánica;2010
24;"toyota rav4 2014 roja - 65;000km";gasolina;65000;Santiago de Surco - Lima - Lima;toyota;rav4;16800;toyota rav4 2014;mecánica;2014
25;super ahorrador de combustible;gasolina;16000;San Luis - Lima - Lima;toyota;urban cruiser;14950;toyota urban cruiser 2016;mecánica;2016
