fecha,producto,region,canal,unidades,ingresos,satisfaccion
2025-01-01,Estándar,Cusco,Web,2,156.3,6.3
2025-01-01,Estándar,Lima,App,4,438.31,10.0
2025-01-01,Premium,Lima,Tienda,1,148.1,7.8
2025-01-01,Estándar,Trujillo,Web,1,70.2,7.3
2025-01-01,Básico,Lima,Tienda,3,185.19,6.0
2025-01-01,Básico,Piura,Web,3,134.86,8.9
2025-01-02,Básico,Arequipa,Tienda,4,175.73,6.0
2025-01-03,Básico,Trujillo,App,2,115.05,6.9
2025-01-03,Premium,Arequipa,Tienda,1,103.14,5.8
2025-01-04,Básico,Arequipa,App,1,66.57,6.7
2025-01-04,Estándar,Lima,Tienda,2,175.82,7.7
2025-01-04,Estándar,Piura,Web,2,169.07,6.7
2025-01-05,Básico,Lima,Web,5,309.41,8.3
2025-01-05,Básico,Arequipa,Tienda,1,49.46,7.9
2025-01-05,Básico,Lima,Tienda,3,170.33,6.3
2025-01-06,Premium,Lima,Tienda,3,518.68,8.0
2025-01-06,Básico,Lima,Web,3,172.55,8.7
2025-01-06,Estándar,Piura,Tienda,7,419.63,8.1
2025-01-07,Básico,Arequipa,Web,3,176.08,7.3
2025-01-07,Básico,Cusco,Web,5,242.35,6.2
2025-01-07,Estándar,Arequipa,Tienda,4,279.57,7.8
2025-01-08,Estándar,Lima,Web,1,88.6,9.8
2025-01-08,Básico,Cusco,Web,3,130.17,7.5
2025-01-08,Estándar,Trujillo,App,1,81.01,7.6
2025-01-09,Estándar,Lima,Web,5,412.82,6.2
2025-01-11,Premium,Lima,Web,2,288.89,7.7
2025-01-12,Básico,Lima,Web,5,307.98,8.3
2025-01-12,Estándar,Piura,Tienda,2,124.92,6.8
2025-01-12,Básico,Trujillo,App,6,396.45,7.6
2025-01-12,Básico,Lima,Web,1,57.65,6.3
2025-01-13,Básico,Trujillo,Tienda,1,47.75,6.0
2025-01-13,Estándar,Lima,Web,1,94.54,6.6
2025-01-13,Premium,Trujillo,App,1,160.16,8.1
2025-01-13,Estándar,Cusco,Tienda,3,199.37,8.0
2025-01-13,Premium,Cusco,Tienda,2,194.28,8.2
2025-01-14,Premium,Arequipa,Web,1,138.52,7.8
2025-01-14,Básico,Lima,App,4,295.1,6.8
2025-01-15,Estándar,Lima,Tienda,1,88.68,7.4
2025-01-16,Básico,Lima,Web,4,230.13,8.5
2025-01-16,Básico,Cusco,Web,5,276.73,7.7
2025-01-17,Básico,Piura,Web,5,219.4,9.1
2025-01-17,Estándar,Piura,Tienda,2,128.03,7.2
2025-01-18,Básico,Lima,App,4,257.86,7.2
2025-01-18,Básico,Lima,Tienda,7,375.19,7.8
2025-01-18,Básico,Lima,Tienda,3,136.75,5.4
2025-01-18,Estándar,Piura,Web,3,237.99,6.8
2025-01-18,Estándar,Lima,App,3,313.98,8.5
2025-01-20,Estándar,Arequipa,Tienda,1,88.78,7.7
2025-01-20,Estándar,Cusco,Web,3,210.44,9.2
2025-01-20,Estándar,Piura,Web,2,150.16,7.3
2025-01-21,Premium,Lima,Web,2,324.49,10.0
2025-01-22,Estándar,Piura,Web,1,79.13,7.4
2025-01-22,Premium,Trujillo,App,1,135.82,7.0
2025-01-22,Básico,Piura,App,7,341.02,7.0
2025-01-23,Estándar,Cusco,Tienda,2,121.17,7.1
2025-01-23,Básico,Arequipa,Web,2,93.72,7.5
2025-01-23,Estándar,Lima,Web,4,341.64,8.6
2025-01-23,Básico,Lima,Web,2,121.09,6.2
2025-01-24,Premium,Lima,Tienda,1,140.92,8.9
2025-01-24,Básico,Trujillo,Web,4,205.58,3.7
2025-01-24,Estándar,Lima,Web,3,318.01,8.1
2025-01-24,Estándar,Arequipa,App,3,276.17,10.0
2025-01-24,Estándar,Piura,Web,2,168.35,8.0
2025-01-25,Básico,Lima,Tienda,5,309.46,8.6
2025-01-27,Estándar,Piura,Web,3,222.17,6.9
2025-01-27,Básico,Arequipa,Web,5,222.8,5.4
2025-01-27,Básico,Lima,Web,1,66.63,7.3
2025-01-28,Premium,Lima,Tienda,2,247.1,9.2
2025-01-28,Básico,Cusco,Web,3,171.3,7.8
2025-01-28,Estándar,Lima,Tienda,2,153.36,8.6
2025-01-28,Estándar,Trujillo,Web,3,205.85,9.9
2025-01-28,Estándar,Lima,Tienda,5,403.69,8.2
2025-01-28,Premium,Arequipa,App,2,297.33,8.5
2025-01-29,Estándar,Lima,Web,2,161.55,5.5
2025-01-29,Premium,Lima,App,1,164.38,9.9
2025-01-29,Estándar,Lima,Web,2,186.27,6.4
2025-01-29,Básico,Arequipa,Tienda,4,228.58,6.3
2025-01-29,Básico,Lima,Tienda,6,386.65,7.1
2025-01-29,Básico,Arequipa,Web,4,230.09,6.0
2025-01-30,Básico,Lima,Web,1,52.72,6.2
2025-01-30,Estándar,Arequipa,Web,2,132.69,7.9
2025-01-30,Premium,Lima,Tienda,1,141.8,7.9
2025-01-30,Estándar,Lima,App,3,306.18,7.4
2025-01-30,Estándar,Arequipa,Web,3,187.0,8.7
2025-01-30,Básico,Lima,Web,3,194.65,5.7
2025-01-30,Básico,Lima,App,3,215.04,7.8
2025-01-30,Estándar,Lima,Tienda,1,89.91,7.0
2025-02-01,Estándar,Lima,Tienda,2,143.9,6.6
2025-02-01,Básico,Piura,Web,3,122.18,7.7
2025-02-02,Estándar,Lima,App,3,352.02,6.9
2025-02-03,Estándar,Piura,App,2,145.77,5.5
2025-02-04,Básico,Lima,App,1,70.61,7.6
2025-02-04,Premium,Trujillo,Tienda,1,99.02,8.0
2025-02-04,Premium,Piura,Web,1,110.84,8.3
2025-02-04,Premium,Cusco,Web,1,119.99,7.9
2025-02-05,Básico,Lima,App,3,159.34,7.3
2025-02-05,Estándar,Piura,Tienda,2,124.06,6.6
2025-02-05,Premium,Arequipa,Web,1,147.73,6.5
2025-02-05,Básico,Lima,Web,2,124.91,5.6
2025-02-06,Estándar,Lima,Web,3,289.8,8.2
2025-02-06,Básico,Trujillo,Tienda,4,188.52,7.7
2025-02-06,Básico,Arequipa,App,2,113.02,7.1
2025-02-07,Estándar,Lima,Web,3,252.65,6.6
2025-02-09,Estándar,Lima,Tienda,1,95.19,8.0
2025-02-09,Básico,Cusco,App,3,135.87,7.3
2025-02-10,Premium,Lima,Tienda,3,417.03,8.7
2025-02-10,Premium,Arequipa,Tienda,2,288.74,10.0
2025-02-10,Premium,Lima,Tienda,2,291.99,8.1
2025-02-10,Estándar,Piura,Web,2,149.03,6.8
2025-02-11,Básico,Arequipa,App,6,361.39,5.9
2025-02-11,Estándar,Cusco,App,1,86.49,6.4
2025-02-11,Premium,Cusco,App,2,243.14,9.2
2025-02-12,Básico,Arequipa,Tienda,1,46.09,6.2
2025-02-13,Estándar,Cusco,App,2,177.3,8.0
2025-02-13,Estándar,Cusco,App,9,633.21,7.3
2025-02-13,Básico,Arequipa,Tienda,4,193.52,8.4
2025-02-13,Básico,Trujillo,Web,4,183.14,6.4
2025-02-14,Premium,Arequipa,Tienda,1,136.93,7.0
